,
f(x) = x^5 - 3x^4 - 3x^2 + 2, com e = 0.000020

,
,Bisection,Posição Falsa,Pégaso
x,0.69686222,0.69686286,0.69686426
Iterações,18,12,7
Interv da Solução,"(0.69685707, 0.69686737)","(0.69686027, 3.00000000)","(0.69821690, 0.69686426)"
Erro Absoluto,0.00001437,0.00000983,0.00000000

,
f(x) = sqrt(x) - 5^-x, com e = 0.010000

,
,Bisection,Posição Falsa,Pégaso
x,0.34218750,0.33940297,0.33745574
Iterações,5,1,3
Interv da Solução,"(0.30000000, 0.38437500)","(0.30000000, 0.40435178)","(0.33784218, 0.33745574)"
Erro Absoluto,0.00843889,0.00346443,-0.00002696

,
f(x) = x^5 - x^4 - 4x + 1, com e = 0.001000

,
,Bisection,Posição Falsa,Pégaso
x,1.69746094,1.69736863,1.69742217
Iterações,8,105,15
Interv da Solução,"(1.69218750, 1.70273437)","(1.69735882, 3.00000000)","(1.69741608, 1.69742217)"
Erro Absoluto,0.00069597,-0.00096050,0.00000017

,
f(x) = 0.05x^3 - 0.4x^2 +3*x*senx, com e = 0.005000

,
,Bisection,Posição Falsa,Pégaso
x,1.42233582,0.54704197,0.54704592
Iterações,14,5,8
Interv da Solução,"(1.42225342, 1.42241821)","(0.54587622, 0.55450498)","(0.54722384, 0.54704592)"
Erro Absoluto,0.00084807,0.00037075,0.00000011

